segment,cluster,size,share,recency_days,frequency,monetary,tenure_days
At-risk regulars,2,4560,0.3180581711655158,14.069078947368421,5.4144736842105265,1027.3341600877193,123.38662280701755
Loyal,0,4031,0.2811606333263584,12.622178119573308,12.692880178615727,2610.7724510047133,251.30960059538577
Hibernating,3,2323,0.16202831833716957,57.93930262591476,10.990959965561773,2147.831300043048,285.62204046491604
One-and-done,1,2227,0.15533235683894817,11.735069600359228,1.7813201616524472,281.14302200269424,27.82622361921868
Champions,4,1196,0.08342052033200809,5.780100334448161,50.54013377926422,10518.932650501672,354.5903010033445
